"video_id","trending_date","title","channel_title","category_id","category","publish_date","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed","description","country"
"9mQk7Evt6Vs","2018-06-07","[MV] (G)I-DLE ((여자)아이들) _ LATATA","1theK (원더케이)",10,"Music","2018-05-02","09:00:02","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""(여자)아이들""|""아이들""|""LATATA""|""(G)I-DLE""",19366458,524049,14028,39356,"https://i.ytimg.com/vi/9mQk7Evt6Vs/default.jpg",False,False,False,"[MV] (G)I-DLE ((여자)아이들) _ LATATA *English subtitles are now available. :D(Please click on 'CC' button or activate 'Interactive Transcript' function)[Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.[공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.:: iTunes : https://itunes.apple.com/album/i-am-ep/1378887583?l=ko&ls=1&app=itunes▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc","GB"
"_XyBa8QsVQU","2018-05-17","[MV] GFRIEND(여자친구) _ Time for the moon night(밤)","1theK (원더케이)",10,"Music","2018-04-30","09:00:03","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""GFRIEND""|""여자친구""|""Time for the moon night""|""밤""",19121908,284093,10177,72171,"https://i.ytimg.com/vi/_XyBa8QsVQU/default.jpg",False,False,False,"[MV] GFRIEND(여자친구) _ Time for the moon night(밤)*English subtitles are now available. :D(Please click on 'CC' button or activate 'Interactive Transcript' function)[Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.[공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.:: iTunes : https://itunes.apple.com/album/%EC%97%AC%EC%9E%90%EC%B9%9C%EA%B5%AC-gfriend-the-6th-mini-album-time-for-the-moon-night/1378209147?l=ko&ls=1&app=itunes▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc","GB"
"oddXT5uaRb8","2017-11-21","[MV] Samuel(사무엘) _ Candy(캔디)","1theK (원더케이)",10,"Music","2017-11-16","09:00:02","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""Samuel""|""사무엘""|""Candy""|""캔디""|""프로듀스 101""|""용감한형제""|""무엘이""|""사무엘 신곡""|""사무엘 컴백""",1508950,181682,2062,9854,"https://i.ytimg.com/vi/oddXT5uaRb8/default.jpg",False,False,False,"[MV] Samuel(사무엘) _ Candy(캔디)  ***** Hello, this is 1theK. We are working on subtitles now! Please come back and watch it again within a few hours. Thank you for your waiting and continuing interest :) *****  [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too. [공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.  :: Get the new album on : smarturl.it/samuel.eyecandy  [ Samuel ]   Samuel came back with his first regular album ‘EYE CANDY’ in three months after the boyish debut album ‘SIXTEEN’. Returning in a more boyish style, Samuel released the title track ‘Candy’ with the new jack swing-based arrangement of the 1990s. Particularly, a special artist, producer D.O, participated in ‘Talkbox’ of the title track ‘Candy’. The second collaboration between Brave Brother and D.O is raising expectations.   #1theK#원더케이#Newrelease#Samuel#사무엘#캔디#Candy  ▶1theK FB  : http://www.facebook.com/1theK ▶1theK TW : https://twitter.com/1theK ▶1theK Kakao : https://goo.gl/otRpZc  [ 사무엘 ]  ‘사무엘(Samuel)’ 의 데뷔앨범 [SIXTEEN]에서 소년다운 모습을 보여준 ‘사무엘(Samuel)’ 이 3개월 만에 정규 1집 [EYE CANDY]으로 돌아왔다. 더욱더 소년다운 느낌으로 돌아온 ‘사무엘’의 타이틀곡 '캔디'는 1990년대를 풍미한 뉴잭스윙 장르 기반의 편곡이 인상적인 곡이다. 특히 이번 타이틀곡 ‘캔디’에는 특별한 아티스트가 참여하였는데 바로 프로듀서 '이현도(D.O)'의 ‘Talkbox’ 참여가 눈길을 이끈다. ‘용감한 형제’ 와 ‘이현도(D.O)’의 또 한 번의 호흡이 기대를 모은다.","GB"
"X9VlCV1ZflQ","2017-11-17","[MV] SONAMOO(소나무) _ I (knew it)","1theK (원더케이)",10,"Music","2017-11-06","09:00:01","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""SONAMOO""|""소나무""|""knew it""|""하이디""|""수민""|""의진""|""디애나""|""민재""|""뉴썬""|""High.D""|""SuMin""|""Min Jae""|""D.ana""|""Na Hyun""|""Eui Jin""|""New Sun""|""옆집소녀""|""Deep blue eyes""|""TS""|""티에스""|""B.A.P""|""TRCNG""",720322,22986,314,2134,"https://i.ytimg.com/vi/X9VlCV1ZflQ/default.jpg",False,False,False,"[MV] SONAMOO(소나무) _ I (knew it)  *English subtitles are now available.    (Please click on 'CC' button or activate 'Interactive Transcript' function)    [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too. [공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.    [ SONAMOO]  The second ‘HAPPY BOX’ of SONAMOO is OPEN!  SONAMOO, who showed their funky and sophisticated appeal with the retro pop dance song ‘Friday Night’ in their first HAPPY BOX, returns with 'HAPPY BOX PART.2' The second HAPPY BOX completed a story like a movie with the fusion style intro song ‘Prequel’ that combined the cool future base genre and cheerful tango melody and the title track ‘I (knew it)’ that has a dual meaning of ‘I’ and ‘baby’ who is crying inside of myself.    :: iTunes : https://itunes.apple.com/album/happy-box-pt-2-single/id1308184052?l=ko&ls=1&app=itunes  #1theK#원더케이#Newrelease#소나무#SONAMOO#I#아이#Knewit   ▶1theK FB  : http://www.facebook.com/1theK ▶1theK TW : https://twitter.com/1theK ▶1theK Kakao : https://goo.gl/otRpZc  [ 소나무 ]  소나무의 두 번째 'HAPPY BOX' OPEN! 첫 번째 해피박스에서 레트로 팝 댄스곡 '금요일밤'으로 펑키하고 세련된 매력을 보여줬던 소나무가 'HAPPY BOX PART.2'로 돌아왔다. 두 번째 해피박스는 세련된 퓨처베이스 장르와 경쾌한 탱고 선율을 접목한 퓨전 스타일의 인트로곡 'Prequel'과 나를 뜻하는 'I'와 내 안에 울고 있는 '아이'라는 중의적인 의미를 담고 있는 타이틀곡 'I (knew it)'를 수록하여 한 편의 영화 같은 스토리텔링을 완성했다.","GB"
"tz23WFb8HM0","2017-12-04","[MV] KARD _ You In Me","1theK (원더케이)",10,"Music","2017-11-21","09:00:02","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""KARD""|""You In Me""|""비엠""|""제이셉""|""전소민""|""전지우""|""BM""|""Jseph""|""somin""|""Jiwoo""",4584309,317396,3426,16793,"https://i.ytimg.com/vi/tz23WFb8HM0/default.jpg",False,False,False,"[MV] KARD _ You In Me  *English subtitles are now available.    (Please click on 'CC' button or activate 'Interactive Transcript' function)    [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too. [공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.  :: Get the new album on : smarturl.it/kard.youandme   [ KARD ]   KARD came back with a deeper sensibility after successfully completing its world tour in 25 cities of 13 countries in three months after its debut in July with the debut album [Hola Hola].     The title track ‘You In Me’ is an EDM song with the strong synth and FX sounds on the tropical house style intense drum sounds. The cold voice on the heavy piano sounds on the Break beat, explosive rap and the perfect contrast between the female and male voices at the climax are all in harmony. It described the story of a tragic ending of an extreme love including obsession of distorted love, the climax of emotions and the wrong way of expressing love.    #KARD#YouInMe#카드#1theK#원더케이#Newrelease  ▶1theK FB  : http://www.facebook.com/1theK ▶1theK TW : https://twitter.com/1theK ▶1theK Kakao : https://goo.gl/otRpZc  [ KARD ]   지난 7월 데뷔 앨범 [Hola Hola]를 발표, 데뷔 3개월 만에 13개국 25개 도시에서 월드투어를 성공적으로 마친 KARD가 더욱 깊어진 감성으로 돌아왔다.   타이틀곡 ‘You In Me’는 트로피칼 하우스 스타일의 펀치감있는 드럼 위로 강렬한 신스와 FX가 돋보이는 EDM곡으로 Break비트 위 무거운 피아노에 차가운 보컬,격정적인 랩과 클라이막스에 여성과 남성 보컬의 완벽한 대조. 이후 결국 하나로 어우러지는 보컬이 매력적인 곡이다. 변질된 사랑으로 인한 집착과 감정의 절정. 잘못된 방식의 사랑 표현 등 너무나도 사랑한 나머지 비극적 결말을 맞게 되는 이야기를 이번 트랙에 담아냈다.","GB"
"uexk7jWXYmU","2018-02-07","[MV] JBJ _ My Flower (꽃이야)","1theK (원더케이)",10,"Music","2018-01-17","09:00:07","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""꽃이야""|""My Flower""|""JBJ""|""노태현""|""켄타""|""김상균""|""김용국""|""권현빈""|""김동한""|""프로듀스 101""|""Produce 101""|""제이비제이""|""제비제""",6503316,278072,1804,17767,"https://i.ytimg.com/vi/uexk7jWXYmU/default.jpg",False,False,False,"[MV] JBJ _ My Flower (꽃이야)  *English subtitles are now available.    (Please click on 'CC' button or activate 'Interactive Transcript' function)    [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.  :: iTunes : https://itunes.apple.com/album/true-colors-ep/1336410226?l=ko&ls=1&app=itunes  [ JBJ ]  JBJ was in full bloom as ‘a very desirable combination’ and became a reality from fantasy in response to the calls from fans. Now, JBJ came back with its second mini album [True Colors] to show each member’s real self.    The title track ‘My Flower’ is a New Pop Track with a new concept that starts with a sensitive piano melody and is finished with a Raggaeton hook in the refrain. Double Sidekick, EASTWEST and Bull$EyE created this song together only for JBJ to show JBJ’s unique fresh feel.    #JBJ#MyFlower#꽃이야#Newrelease#MV#1theK#원더케이  ▶1theK FB  : http://www.facebook.com/1theK ▶1theK TW : https://twitter.com/1theK ▶1theK Kakao : https://goo.gl/otRpZc","GB"
"Ks6I2rtI4ms","2018-05-10","[MV] JBJ _ Call Your Name(부를게)","1theK (원더케이)",10,"Music","2018-04-17","09:00:01","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""JBJ""|""Call Your Name""|""부를게""|""제이비제이""",3598569,239661,1080,22002,"https://i.ytimg.com/vi/Ks6I2rtI4ms/default.jpg",False,False,False,"[MV] JBJ _ Call Your Name(부를게)*English subtitles are now available.   (Please click on 'CC' button or activate 'Interactive Transcript' function)  [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.:: iTunes : https://itunes.apple.com/album/new-moon/1373160437?l=ko&ls=1&app=itunes[JBJ]JBJ’s Deluxe Edition ‘NEW MOON’ will be released after the glorious time in happiness thanks to the love of fans for the past seven months. The new album added three new songs to 13 songs in the existing albums ‘FANTASY’ and ‘True Colors’, making it 16 tracks in total. The album will show the real sides of the members as they’re realized after being summoned by the fans and provide the trace of JBJ who will make a new start. #JBJ#Call_Your_Name#부를게#Newrelease#MV#1theK#원더케이▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc","GB"
"Cd8UxUlqaZ8","2017-12-29","[MV] B.A.P _ HANDS UP","1theK (원더케이)",10,"Music","2017-12-13","09:00:01","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""B.A.P""|""HANDS UP""|""비에이피""|""밥돌이들""|""방용국""|""젤로""|""Zelo""|""Bang youngguk""",1408369,146503,591,11442,"https://i.ytimg.com/vi/Cd8UxUlqaZ8/default.jpg",False,False,False,"[MV] B.A.P _ HANDS UP  *English subtitles are now available.    (Please click on 'CC' button or activate 'Interactive Transcript' function)    [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too. [공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.  :: iTunes : https://itunes.apple.com/album/b-a-p-8th-single-album-ego-single/1324949085?l=ko&ls=1&app=itunes  [B.A.P] B.A.P’s eight single album ‘EGO’ was created based on the idea that B.A.P returns to itself after reaching its peak of rough and strong images. The title track ‘HANDS UP’ is an electronic hip hop number to deliver the message of finding ‘myself’ out of the prejudice that locks me up.   #B_A_P#비에이피#HANDS_UP#Newrelease#MV#1theK#원더케이  ▶1theK FB  : http://www.facebook.com/1theK ▶1theK TW : https://twitter.com/1theK ▶1theK Kakao : https://goo.gl/otRpZc  [비에이피] '자아'라는 키워드로 시작된 B.A.P의 여덟 번째 싱글 앨범 'EGO'는 거칠고 강렬한 이미지의 정점을 찍었던 B.A.P가 다시 한번 본연의 모습으로 회귀한다는 의미로 제작되었다. 타이틀곡 ‘HANDS UP’은 자신을 가두는 편견에서 벗어나 있는 그대로의 ‘나'를 찾아 나가자는 메세지를 담은 일렉트로닉 힙합 넘버이다.","GB"
"S10azlzvS_8","2018-01-17","[MV] MAMAMOO (마마무) _ Paint Me (칠해줘)","1theK (원더케이)",10,"Music","2018-01-04","09:00:05","Kpop|""1theK""|""원더케이""|""loen""|""로엔""|""뮤비""|""티져""|""MV""|""Teaser""|""신곡""|""new""|""song""|""한류""|""hallyu""|""ロエン""|""ミュージック""|""ミュージックビデオ""|""ケーポップ""|""韓国の歌""|""アイドル""|""韓流""|""韓国""|""아이돌""|""idol""|""MAMAMOO""|""Paint Me""|""마마무""|""칠해줘""|""솔라""|""문별""|""화사""|""휘인""|""Solar""|""MoonByul""|""MoonStar""|""문스타""|""Hwasa""|""Hwiin""|""김용선""|""마마무신곡""",2712840,151050,2047,12162,"https://i.ytimg.com/vi/S10azlzvS_8/default.jpg",False,False,False,"[MV] MAMAMOO (마마무) _ Paint Me (칠해줘)   *English subtitles are now available.    (Please click on 'CC' button or activate 'Interactive Transcript' function)    [Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too. [공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.  :: iTunes : https://itunes.apple.com/album/%EC%B9%A0%ED%95%B4%EC%A4%98-paint-me-single/1331388375?l=ko&ls=1&app=itunes  [MAMAMOO]  One of the strongest girls’ groups both in name and reality, MAMAMOO, started to make a sketch to paint the new year of 2018 with their own colors.   The newly released song ‘Paint Me’ has the picturesque lyrics that compared the excitement and warmth of love, the pain of cold breakups and the passionate emotions that get hotter with four colors of white, yellow, blue and red. Despite the controlled session configuration, a combination of the abundant ambience, the melodies of the main piano that keep the balance of the song, the guitar sounds that lead the song by building tension in the song and the string sounds at the latter half of the song created the music in a magnificent scale like the OST of a blockbuster movie.       #MAMAMOO#마마무#Paint_Me#칠해줘#Newrelease#MV#원더케이#1theK  ▶1theK FB  : http://www.facebook.com/1theK ▶1theK TW : https://twitter.com/1theK ▶1theK Kakao : https://goo.gl/otRpZc","GB"
"900X9fDFLc4","2018-02-07","청하 (CHUNGHA) - Roller Coaster MV","CJENMMUSIC Official",10,"Music","2018-01-17","09:00:01","CJ E&M|""CJENM""|""CJENMMUSIC""|""K-CULTURE""|""korean Music""|""MV""|""Music Video""|""K-Pop""|""Kpop""|""뮤비""|""뮤직비디오""|""청하""|""CHUNGHA""|""Roller Coaster""|""롤러코스터""|""프로듀스101""|""프듀101""|""아이오아이""|""i.o.i""|""전소미""|""김세정""|""최유정""|""김청하""|""김소혜""|""주결경""|""정채연""|""김도연""|""강미나""|""임나영""|""유연정""|""세정""|""SEJEONG""|""구구단""|""gugudan""|""위키미키""|""결경""|""PRISTIN""|""프리스틴""|""다이아""|""DIA""|""YEONJUNG""|""연정""",5855069,171218,2491,8157,"https://i.ytimg.com/vi/900X9fDFLc4/default.jpg",False,False,False,"♬ Available on iTunes, Apple Music : https://apple.co/2Dk2g1E      Listen on Spotify : http://spoti.fi/2Dyw22A  청하 2nd Mini Album [Offset]  지난 여름 ‘Why Don’t You Know’를 통해 솔로 아티스트로 성공적인 시작을 알린 청하가 두 번째 미니앨범 'Offset'으로 돌아왔다.  이번 앨범에는 청하의 무대 아래서의 자연스러운 일상(off)과 무대 위 화려한 모습(set), 이 두 가지 주제가 음악, 영상, 사진, 안무 이 모든 콘텐츠에 합쳐지고 상쇄(offset) 하여 청하가 가지고 있는 본연의 다양한 매력을 오롯이 담아냈다.  가요계 대표 ‘히트곡 제조기’ 블랙아이드필승이 프로듀싱한 타이틀곡 ‘롤러코스터(Roller Coaster)’는 90년대 특유의 감성이 느껴지는 바이브와 현대적으로 재해석된 투스텝 리듬을 조화롭게 재단한 곡이다. 청량하게 울려 퍼지는 인트로부터 청하의 매력적인 애드리브 섹션까지 리스너들에게 짜릿함을 선사할 예정이다.  Imagine, temperature up just for emotions. offset!   Album Review  2. Roller Coaster  블랙아이드필승이 결성 이래 처음으로 프로듀싱 한 여성 솔로 곡이다. 컨템포러리 R&B 장르의 황금기인 90년대 특유의 바이브와 현대적으로 재해석된 투스텝 리듬을 조화롭게 재단하여 청하를 위한 새로운 트랙이 만들어졌다. 누군가와 사랑에 빠졌을 때 너무나 달콤하지만 가끔은 아찔하고 위험한 기분을 느끼는 현재 상황을 롤러코스터에 비유하여 표현하였다. 이 곡은 데모에서부터 앨범을 위해 마스터로 프레싱 되기까지 총 6개월이란 시간이 걸렸는데 그만큼 곡 안에서 표현되는 감정, 가사, 멜로디, 편곡 등 이 모든 것들이 세세하게 다듬어지고 재배치되어 완벽하게 완성되었다. 청량하게 울려 퍼지는 인트로에서부터 마지막 청하의 매력적인 애드리브 섹션까지 놓칠 수 없는 짜릿한 곡이다.   CJ E&M Music은 아시아 No.1 엔터테인먼트 기업인 CJ E&M의 음악사업 브랜드로 음원/음반의 투자/제작/유통부터 콘서트/페스티벌 개최까지 포함하고 있습니다. CJ E&M MUSIC과 함께 하는 K-POP 아티스트들의 신곡과 뮤직비디오, 미공개 독점 영상 등을 이곳 YOUTUBE 채널에서 가장 먼저 만나보세요.  CJ E&M Music is a music business brand of CJ E&M, Asia's No.1 entertainment company. CJ E&M Music covers investment, production and distribution of album and also provides the best music festival and concerts. Meet the K-POP artists' brand new music videos and exclusive video clips on the official YouTube of CJ E&M Music.","GB"
